issue_number,fix_commit_sha,changed_file,parent_commit_sha,note
44290.0,33a7269b4f5edbf4cad66724e7c69d3b551a4553,public/app/plugins/datasource/cloudwatch/components/SQLBuilderEditor/utils.ts,fd14112dbd93c97509f73e623b1a8234f012cb1d,SZZ-lite file-level parent mapping only
44478.0,bb88cf683cefc750004032c5c518501269a01694,emails/templates/ng_alert_notification.html,c8bb4c733ec5fd0bf9625d96a083a00ce58ed6f2,SZZ-lite file-level parent mapping only
44478.0,bb88cf683cefc750004032c5c518501269a01694,public/emails/ng_alert_notification.html,c8bb4c733ec5fd0bf9625d96a083a00ce58ed6f2,SZZ-lite file-level parent mapping only
43803.0,6baf38e84b78ca958529e3a3b79a9773097565e4,public/app/features/variables/adhoc/actions.test.ts,1c6eca09bb00621d00b46acd0c8ebf86323e48de,SZZ-lite file-level parent mapping only
43803.0,6baf38e84b78ca958529e3a3b79a9773097565e4,public/app/features/variables/adhoc/actions.ts,1c6eca09bb00621d00b46acd0c8ebf86323e48de,SZZ-lite file-level parent mapping only
43803.0,6baf38e84b78ca958529e3a3b79a9773097565e4,public/app/features/variables/datasource/actions.test.ts,1c6eca09bb00621d00b46acd0c8ebf86323e48de,SZZ-lite file-level parent mapping only
43803.0,6baf38e84b78ca958529e3a3b79a9773097565e4,public/app/features/variables/datasource/actions.ts,1c6eca09bb00621d00b46acd0c8ebf86323e48de,SZZ-lite file-level parent mapping only
43803.0,6baf38e84b78ca958529e3a3b79a9773097565e4,public/app/features/variables/editor/reducer.test.ts,1c6eca09bb00621d00b46acd0c8ebf86323e48de,SZZ-lite file-level parent mapping only
43803.0,6baf38e84b78ca958529e3a3b79a9773097565e4,public/app/features/variables/editor/reducer.ts,1c6eca09bb00621d00b46acd0c8ebf86323e48de,SZZ-lite file-level parent mapping only
43803.0,6baf38e84b78ca958529e3a3b79a9773097565e4,public/app/features/variables/query/actions.test.tsx,1c6eca09bb00621d00b46acd0c8ebf86323e48de,SZZ-lite file-level parent mapping only
43803.0,6baf38e84b78ca958529e3a3b79a9773097565e4,public/app/features/variables/query/actions.ts,1c6eca09bb00621d00b46acd0c8ebf86323e48de,SZZ-lite file-level parent mapping only
