tag_name,release_name,published_at,target_commitish,html_url,draft,prerelease
v10.0.0,10.0.0 (2023-06-12),2023-06-22 15:09:32+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.0.0,False,False
v9.2.20,,2023-06-22 15:29:50+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.2.20,False,False
v9.3.16,,2023-06-22 15:49:19+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.3.16,False,False
v9.5.5,9.5.5 (2023-06-22),2023-06-22 18:41:37+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.5.5,False,False
v10.0.1,10.0.1 (2023-06-20),2023-06-22 19:38:29+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.0.1,False,False
v9.4.13,,2023-06-22 21:02:24+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.4.13,False,False
v9.5.6,9.5.6 (2023-07-11),2023-07-11 10:34:30+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.5.6,False,False
v10.0.2,10.0.2 (2023-07-11),2023-07-11 10:34:51+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.0.2,False,False
v9.5.7,9.5.7 (2023-07-20),2023-07-26 08:08:25+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.5.7,False,False
v10.0.3,10.0.3 (2023-07-26),2023-07-26 08:52:01+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.0.3,False,False
v9.5.8,9.5.8 (2023-08-16),2023-08-17 18:15:43+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.5.8,False,False
v10.0.4,10.0.4 (2023-08-22),2023-08-23 20:47:47+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.0.4,False,False
v10.1.0,10.1.0 (2023-08-01),2023-08-23 21:09:07+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.1.0,False,False
v10.1.1,10.1.1 (2023-08-29),2023-08-31 23:44:07+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.1.1,False,False
v9.4.14,9.4.14 (2023-09-05),2023-09-05 11:07:47+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.4.14,False,False
v9.5.9,9.5.9 (2023-09-05),2023-09-05 11:53:16+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.5.9,False,False
v10.0.5,10.0.5 (2023-09-05),2023-09-05 12:33:11+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.0.5,False,False
v9.4.15,9.4.15 (2023-09-18),2023-09-19 05:38:39+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.4.15,False,False
v9.5.10,9.5.10 (2023-09-18),2023-09-19 06:14:18+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.5.10,False,False
v10.0.6,10.0.6 (2023-09-18),2023-09-19 06:53:42+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.0.6,False,False
v10.1.2,10.1.2 (2023-09-18),2023-09-19 07:07:23+00:00,main,https://github.com/grafana/grafana/releases/tag/v10.1.2,False,False
