repository_slug,repository_name,repository_full_name,period,metric_name,metric_value,metric_note
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-08,lead_time_days_max,45.33851851851852,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-09,lead_time_days_max,40.400486111111114,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-10,lead_time_days_max,49.2115162037037,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-11,lead_time_days_max,63.16295138888889,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-12,lead_time_days_max,35.72737268518519,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-06,recovery_time_days_mean,50.12741203703704,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-09,recovery_time_days_mean,43.636485690235695,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-10,recovery_time_days_mean,31.685803571428572,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-11,recovery_time_days_mean,59.87018931878307,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-12,recovery_time_days_mean,31.944477719907407,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-02,recovery_time_days_mean,44.86895006613757,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-03,recovery_time_days_mean,60.9456841563786,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-04,recovery_time_days_mean,54.69567418981481,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-05,recovery_time_days_mean,41.60992651808785,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-06,recovery_time_days_mean,67.14866079980843,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-07,recovery_time_days_mean,50.30261100589226,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-08,recovery_time_days_mean,33.260313298212004,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-09,recovery_time_days_mean,88.503288166215,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-10,recovery_time_days_mean,26.836176346801345,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-11,recovery_time_days_mean,48.07366030092592,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-12,recovery_time_days_mean,165.8482465277778,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-01,recovery_time_days_mean,20.63738136574074,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-02,recovery_time_days_mean,34.01752160493827,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-03,recovery_time_days_mean,57.57395925925926,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-04,recovery_time_days_mean,178.93168518518516,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-05,recovery_time_days_mean,60.46325409544159,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-06,recovery_time_days_mean,40.01325424382716,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-07,recovery_time_days_mean,189.56400405092592,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-09,recovery_time_days_mean,89.95253986625514,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-10,recovery_time_days_mean,140.19217261904762,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-11,recovery_time_days_mean,90.46962436868687,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-12,recovery_time_days_mean,173.22395041423002,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-01,recovery_time_days_mean,181.4658699223417,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-02,recovery_time_days_mean,243.06120138888892,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-03,recovery_time_days_mean,7.91048225308642,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-04,recovery_time_days_mean,266.63977083333333,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-05,recovery_time_days_mean,243.409933127572,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-07,recovery_time_days_mean,269.0423683984911,
