repository_slug,repository_name,repository_full_name,period,metric_name,metric_value,metric_note
grafana,Grafana,grafana/grafana,2022-06,adapted_bugfix_deployment_rate,0.8,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2022-07,adapted_bugfix_deployment_rate,0.6,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2022-08,adapted_bugfix_deployment_rate,0.6,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2022-09,adapted_bugfix_deployment_rate,0.6666666666666666,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2022-10,adapted_bugfix_deployment_rate,1.0,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2022-11,adapted_bugfix_deployment_rate,0.8571428571428571,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2022-12,adapted_bugfix_deployment_rate,0.6666666666666666,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2023-01,adapted_bugfix_deployment_rate,0.8,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2023-02,adapted_bugfix_deployment_rate,0.6666666666666666,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2023-03,adapted_bugfix_deployment_rate,0.5,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2023-04,adapted_bugfix_deployment_rate,0.4,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2023-05,adapted_bugfix_deployment_rate,0.25,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2023-06,adapted_bugfix_deployment_rate,0.3333333333333333,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2023-07,adapted_bugfix_deployment_rate,0.5,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2023-08,adapted_bugfix_deployment_rate,1.0,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2023-09,adapted_bugfix_deployment_rate,0.3,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2023-10,adapted_bugfix_deployment_rate,0.4,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2023-11,adapted_bugfix_deployment_rate,0.6666666666666666,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2023-12,adapted_bugfix_deployment_rate,0.5,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2024-01,adapted_bugfix_deployment_rate,1.0,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2024-02,adapted_bugfix_deployment_rate,0.4,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2024-03,adapted_bugfix_deployment_rate,0.25,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2024-04,adapted_bugfix_deployment_rate,1.0,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2024-05,adapted_bugfix_deployment_rate,0.3333333333333333,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2024-06,adapted_bugfix_deployment_rate,0.2857142857142857,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2024-07,adapted_bugfix_deployment_rate,0.2,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2024-08,adapted_bugfix_deployment_rate,0.375,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2024-09,adapted_bugfix_deployment_rate,0.2,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2024-10,adapted_bugfix_deployment_rate,0.29411764705882354,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2024-11,adapted_bugfix_deployment_rate,0.375,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2024-12,adapted_bugfix_deployment_rate,0.3333333333333333,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2025-01,adapted_bugfix_deployment_rate,0.42857142857142855,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2025-02,adapted_bugfix_deployment_rate,0.4,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2025-03,adapted_bugfix_deployment_rate,0.42857142857142855,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2025-04,adapted_bugfix_deployment_rate,0.16666666666666666,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2025-05,adapted_bugfix_deployment_rate,0.25,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2025-06,adapted_bugfix_deployment_rate,0.4166666666666667,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2025-07,adapted_bugfix_deployment_rate,0.2727272727272727,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2025-08,adapted_bugfix_deployment_rate,0.2,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2025-09,adapted_bugfix_deployment_rate,0.4,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2025-10,adapted_bugfix_deployment_rate,0.4,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2025-11,adapted_bugfix_deployment_rate,0.375,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2025-12,adapted_bugfix_deployment_rate,0.4,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
